ADS_SMA_CPP_MAIN_PREPARE - Target STG_SMA_CASE_PHASE_PROPERTIES_PARSE a STG_SMA_CASE_PHASE_PROPERTIES

ADS_SMA_CPP_THECASE_PREPARE	Plnění STG_SMA_CASE_PHASE_PROPERTIES_THECASE
ADS_STG_SMA_CASE_PHASE_PROPERTIES_MAIN	Plnění SMA_CASE_PHASE_PROPERTIES
ADS_STG_SMA_CASE_PHASE_PROPERTIES_UPDATE	Plnění SMA_CASE_PHASE_PROPERTIES
ADS_SMA_PROCESS_EVENTS_MAIN	Plnění PROCESS_EVENTS
ADS_SMA_CASE_PHASE_PROPERTIES_MAIN_0	Plnění CASE_PHASE_PROPERTIES dle Modulo(CTP_KEY)
ADS_SMA_CASE_PHASE_PROPERTIES_MAIN_1	Plnění CASE_PHASE_PROPERTIES dle Modulo(CTP_KEY)
ADS_SMA_CASE_PHASE_PROPERTIES_MAIN_2	Plnění CASE_PHASE_PROPERTIES dle Modulo(CTP_KEY)
ADS_SMA_CASE_PHASE_PROPERTIES_MAIN_3	Plnění CASE_PHASE_PROPERTIES dle Modulo(CTP_KEY)
ADS_SMA_CASE_PHASE_PROPERTIES_MAIN_4	Plnění CASE_PHASE_PROPERTIES dle Modulo(CTP_KEY)
ADS_SMA_CASE_PHASE_PROPERTIES_MAIN_5	Plnění CASE_PHASE_PROPERTIES dle Modulo(CTP_KEY)
ADS_SMA_CASE_PHASE_PROPERTIES_MAIN_6	Plnění CASE_PHASE_PROPERTIES dle Modulo(CTP_KEY)
ADS_SMA_CASE_PHASE_PROPERTIES_MAIN_7	Plnění CASE_PHASE_PROPERTIES dle Modulo(CTP_KEY)
ADS_SMA_CASE_PHASE_PROPERTIES_MAIN_8	Plnění CASE_PHASE_PROPERTIES dle Modulo(CTP_KEY)
ADS_SMA_CASE_PHASE_PROPERTIES_MAIN_9	Plnění CASE_PHASE_PROPERTIES dle Modulo(CTP_KEY)
ADS_SMA_CASE_PHASE_PROPERTIES_MAIN_BUSY_BANKING	
ADS_SMA_CASE_PHASE_PROPERTIES_HASHID	Zrušeno
ADS_SMA_CASE_PHASE_PROPERTIES_POT_OWN	
ADS_SMA_CASE_PHASE_PROPERTIES_HUMANTASK	
